FID_,OBJECTID,OA11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,other,Total_km,Average_km
,855,E00074273,361648.591000000010000,169232.087999999990000,123,13,44,28,17,3,0,1,2,9,6,952.500000000000000,8.800000000000001
,856,E00074270,362611.609999999990000,168635.918999999990000,176,17,41,45,32,3,0,2,5,14,17,1736.300000000000000,12.000000000000000
,857,E00074271,362099.772000000000000,168344.886999999990000,70,15,18,12,8,1,0,0,1,8,7,425.899999999999980,7.700000000000000
,858,E00074278,362191.131999999980000,168777.991000000010000,154,22,28,44,20,2,3,0,5,15,15,1501.099999999999900,12.100000000000000
,859,E00074279,361257.006999999980000,168743.190000000000000,245,21,71,62,29,3,2,5,9,21,22,2867.099999999999900,14.199999999999999
,860,E00074226,358639.830000000020000,179450.386000000000000,167,33,33,45,12,6,0,2,7,18,11,1927.500000000000000,14.000000000000000
,861,E00074227,358400.626999999980000,179131.609000000000000,139,30,31,36,10,0,0,1,6,13,12,1598.700000000000000,14.000000000000000
,862,E00074224,358882.843999999980000,179650.586000000010000,147,26,27,61,7,0,1,4,4,11,6,1687.200000000000000,13.000000000000000
,863,E00074222,358360.400000000020000,177779.913999999990000,105,17,34,21,2,2,0,1,4,12,12,1036.500000000000000,12.800000000000001
,864,E00074223,358786.704000000030000,179566.727000000010000,150,32,30,45,5,3,1,1,6,9,18,1850.300000000000000,15.000000000000000
,865,E00074220,358503.518999999970000,177914.678000000010000,147,28,46,35,7,5,0,1,7,8,10,1712.700000000000000,13.300000000000001
,866,E00074221,358627.731000000030000,178001.185999999990000,130,41,44,22,4,2,1,0,1,2,13,548.600000000000020,4.800000000000000
,867,E00074228,357789.864000000000000,172051.565999999990000,171,87,22,22,10,5,2,3,6,9,5,1753.300000000000000,11.199999999999999
,868,E00073953,354433.728999999990000,178000.071999999990000,120,22,28,38,6,0,2,1,3,8,12,1096.800000000000000,11.000000000000000
,981,E00074377,358867.351000000020000,167436.347000000010000,80,11,16,21,17,2,0,1,1,2,9,694.399999999999980,10.100000000000000
,982,E00074374,358577.957999999980000,167435.752000000010000,84,16,21,23,9,1,0,0,0,4,10,400.000000000000000,5.700000000000000
,983,E00074375,358003.337999999990000,167440.627000000010000,123,21,22,34,16,5,0,1,3,7,14,1097.800000000000000,10.800000000000001
,984,E00074372,358784.538999999990000,167494.692000000010000,94,19,18,25,9,0,0,1,1,0,21,683.000000000000000,9.400000000000000
,985,E00074373,359585.381999999980000,167473.844000000010000,194,26,38,59,39,0,1,2,3,8,18,1631.700000000000000,9.699999999999999
,986,E00074370,359213.009000000020000,167569.973000000000000,125,21,31,37,13,0,0,1,2,6,14,943.899999999999980,9.000000000000000
,987,E00074371,358388.364999999990000,167342.225000000010000,78,9,21,25,10,0,1,0,1,6,5,671.899999999999980,10.000000000000000
,988,E00074378,360022.511999999990000,167416.526000000010000,164,24,36,47,29,1,0,2,3,10,12,1375.700000000000000,9.699999999999999
,989,E00074379,359908.473999999990000,167202.120000000000000,165,32,28,48,16,2,0,1,5,16,17,1618.200000000000000,12.300000000000001
,990,E00074326,355253.650000000020000,175834.668999999990000,105,2,36,32,4,1,0,2,1,17,10,667.500000000000000,8.600000000000000
,991,E00074327,357228.177000000030000,176256.689000000010000,18,3,10,1,1,0,1,0,2,0,0,325.600000000000020,18.100000000000001
,992,E00074324,356309.161000000020000,175883.087000000000000,159,16,64,25,5,4,3,2,5,26,9,1679.900000000000100,13.500000000000000
,993,E00074325,356062.027999999990000,175959.415000000010000,94,3,36,20,4,0,4,2,4,19,2,1185.599999999999900,16.199999999999999
,994,E00074322,356377.278999999980000,176141.709999999990000,172,23,72,24,4,5,4,3,9,19,9,2497.000000000000000,17.300000000000001
,995,E00074323,355963.944000000020000,176082.519999999990000,175,18,74,20,6,3,0,4,11,29,10,2266.199999999999800,16.699999999999999
,996,E00074320,355664.118000000020000,176410.576999999990000,167,9,57,42,8,5,0,1,5,31,9,1562.900000000000100,12.300000000000001
,997,E00074321,355317.082999999980000,175995.228999999990000,147,2,59,33,7,4,1,0,3,26,12,1217.400000000000100,11.199999999999999
,998,E00074328,357028.042000000020000,178153.908000000000000,142,11,34,37,8,3,8,5,8,14,14,2582.500000000000000,22.699999999999999
,999,E00074329,356677.066999999980000,176356.731999999990000,149,21,65,21,3,3,2,3,6,19,6,1667.500000000000000,13.400000000000000
,1000,E00073276,359079.457999999980000,175905.905000000000000,213,26,86,28,7,5,0,1,9,33,18,2005.400000000000100,12.400000000000000
,1001,E00074316,356312.299000000000000,175109.744000000010000,135,13,53,16,4,7,3,3,9,17,10,2374.699999999999800,22.000000000000000
,1002,E00074397,358599.587999999990000,167675.701000000000000,104,19,29,19,17,0,1,0,1,10,8,781.600000000000020,9.100000000000000
,1003,E00073277,359069.445000000010000,175696.174000000000000,201,31,93,19,10,3,3,5,9,17,11,2145.900000000000100,12.400000000000000
,1004,E00074317,355773.867000000030000,177030.272000000000000,123,5,31,33,10,3,4,0,6,23,8,1402.200000000000000,15.199999999999999
,1005,E00074396,360332.906000000020000,167552.472000000010000,174,26,37,50,23,1,1,1,3,14,18,1551.599999999999900,10.900000000000000
,1006,E00073274,358939.243000000020000,176049.220000000000000,142,18,70,18,3,0,1,4,4,15,9,1227.700000000000000,10.400000000000000
,1007,E00073551,358110.739000000000000,174352.247000000000000,170,86,20,19,9,3,2,3,7,8,13,1901.099999999999900,12.800000000000001
,1008,E00073943,354038.031000000020000,178175.106999999990000,124,18,36,44,7,1,0,1,1,6,10,684.299999999999950,6.300000000000000
,1009,E00073940,354939.712000000000000,178721.253999999990000,78,7,23,22,8,2,1,0,2,7,6,712.299999999999950,11.000000000000000
,1010,E00073941,355128.139000000020000,178685.859999999990000,133,13,48,43,11,0,0,0,5,3,10,1358.000000000000000,11.300000000000001
,1011,E00073558,358573.273999999980000,174164.272000000000000,183,78,14,29,4,3,4,7,7,22,15,1993.000000000000000,13.699999999999999
,1012,E00073559,361481.229999999980000,174334.174000000000000,187,25,69,23,10,0,2,6,3,24,25,1377.099999999999900,10.000000000000000
,1013,E00073948,354602.843999999980000,178233.439000000010000,119,23,29,33,6,1,2,1,8,4,12,2195.199999999999800,21.300000000000001
,1014,E00073949,354340.670999999970000,178379.516999999990000,84,13,23,34,5,0,1,1,2,0,5,1443.099999999999900,18.300000000000001
,1015,E00073506,357413.185999999990000,174272.187999999990000,208,64,53,26,14,5,2,4,10,20,10,2671.199999999999800,15.000000000000000
,1016,E00073587,361505.760000000010000,173437.084999999990000,176,29,73,12,12,4,0,1,9,19,17,1990.099999999999900,14.199999999999999
,1017,E00073507,357283.000000000000000,174237.264000000000000,93,21,28,10,8,4,1,2,4,14,1,1277.599999999999900,16.399999999999999
,1018,E00073586,361525.843999999980000,173653.720000000000000,158,28,57,23,6,2,0,2,9,15,16,1849.599999999999900,14.600000000000000
,1019,E00073504,357564.194000000020000,174282.899999999990000,164,55,41,21,6,0,2,2,8,21,8,1875.300000000000000,13.900000000000000
,1020,E00073585,361351.094999999970000,173703.258000000000000,171,33,63,24,17,0,3,2,2,13,14,1094.700000000000000,7.600000000000000
,1021,E00073936,355096.983000000010000,176336.902999999990000,78,8,22,28,3,2,1,1,0,7,6,434.500000000000000,6.700000000000000
,1022,E00073505,357582.061999999980000,174160.704000000000000,114,45,22,18,7,1,2,0,5,7,7,1090.700000000000000,10.900000000000000
,1023,E00073584,361146.549999999990000,173694.980000000010000,145,31,57,22,7,1,0,2,1,6,18,715.899999999999980,5.900000000000000
,1024,E00073937,354348.332999999980000,178496.866000000010000,125,25,43,36,4,2,1,1,1,7,5,688.700000000000050,6.100000000000000
,1025,E00073934,355189.924999999990000,176625.062000000010000,120,13,53,24,7,9,0,0,3,5,6,1016.000000000000000,9.300000000000001
,1026,E00073502,357448.560000000000000,174402.706000000010000,193,60,38,21,15,3,4,2,19,22,9,3278.400000000000100,20.199999999999999
,1027,E00073583,361370.005999999990000,173369.755999999990000,212,43,76,34,20,4,0,3,7,7,18,1991.099999999999900,10.600000000000000
,1028,E00073935,355181.103999999990000,176454.560000000000000,157,21,56,47,7,2,2,1,4,7,10,1623.900000000000100,11.600000000000000
,1029,E00073503,357052.829000000030000,174446.481000000000000,153,30,46,23,3,4,5,3,6,26,7,1583.900000000000100,13.199999999999999
,1030,E00073582,361309.199000000020000,173625.880000000000000,191,37,81,31,11,5,3,1,5,5,12,1539.599999999999900,8.800000000000001
,1031,E00073932,354877.026000000010000,176662.125000000000000,148,19,44,51,5,2,1,0,5,10,11,1386.400000000000100,10.900000000000000
,1032,E00073500,357397.815999999990000,174611.651000000010000,212,67,46,26,5,7,3,6,10,30,12,2443.000000000000000,14.400000000000000
,1033,E00073581,361293.074000000020000,173852.141000000000000,141,19,64,11,13,0,1,0,7,6,20,1709.300000000000000,14.900000000000000
,1034,E00073933,355352.999000000010000,176745.032000000010000,85,3,35,27,5,1,0,0,3,6,5,887.899999999999980,12.000000000000000
,1035,E00073501,357212.673000000010000,174565.495000000000000,190,54,41,26,9,7,4,5,5,30,9,1953.800000000000000,12.900000000000000
,1036,E00073930,355330.882999999970000,177037.918000000010000,139,15,47,38,5,3,2,0,1,14,14,1004.800000000000000,9.100000000000000
,1037,E00073931,354963.689000000010000,176310.867999999990000,135,11,53,38,7,1,1,1,8,4,11,2019.099999999999900,16.800000000000001
,1038,E00073508,357410.987000000020000,174124.780999999990000,136,56,27,17,9,0,0,1,9,11,6,2114.300000000000200,17.800000000000001
,1039,E00073589,361467.777000000000000,173306.522000000000000,101,21,37,10,10,2,1,4,2,5,9,970.000000000000000,11.100000000000000
,1040,E00074314,356485.606000000030000,175067.614999999990000,152,18,60,24,3,6,1,2,9,17,12,1948.500000000000000,15.800000000000001
,1041,E00074395,358409.702999999980000,167910.429000000000000,88,25,21,21,9,0,0,1,1,5,5,549.799999999999950,7.000000000000000
,1042,E00074315,356048.434000000010000,175084.954000000000000,105,3,35,23,1,1,2,1,6,27,6,1673.000000000000000,23.199999999999999
,1043,E00074394,358391.259000000020000,167757.141000000000000,56,10,15,11,11,1,0,0,1,3,4,431.899999999999980,8.800000000000001
,1044,E00073272,359819.539999999980000,176072.136000000000000,175,28,73,24,9,0,0,1,10,22,8,2435.800000000000200,16.800000000000001
,1045,E00074312,355871.340000000030000,175166.962000000000000,137,8,63,22,10,2,2,3,6,11,10,1670.400000000000100,14.400000000000000
,1046,E00074393,358266.548000000010000,167677.192000000010000,83,11,20,17,13,1,1,1,1,6,12,657.600000000000020,10.100000000000000
,1047,E00073273,359514.007999999970000,175911.632000000010000,134,11,60,18,7,3,4,2,3,16,10,1171.300000000000000,10.800000000000001
,1048,E00074313,356538.869000000010000,175525.208000000010000,197,14,70,26,6,6,2,4,17,35,17,3346.800000000000200,23.100000000000001
,1049,E00074392,358577.254000000020000,167944.878999999990000,107,22,27,17,13,1,1,0,2,5,19,785.299999999999950,9.500000000000000
,1050,E00073270,359403.152000000000000,175985.315999999990000,234,25,114,23,14,1,2,8,9,26,12,2442.199999999999800,12.500000000000000
,1051,E00074310,356114.880999999990000,175372.946000000000000,115,8,43,16,7,4,0,2,5,26,4,1247.400000000000100,14.699999999999999
,1052,E00074391,358707.629000000020000,167841.502000000010000,89,12,32,18,7,0,0,0,2,4,14,837.399999999999980,11.800000000000001
,1053,E00073271,359158.685000000000000,176047.314000000010000,286,44,112,42,12,2,3,7,11,35,18,3096.900000000000100,13.300000000000001
,1054,E00074311,355642.200000000010000,175058.109999999990000,108,5,37,11,9,1,1,0,10,29,5,2257.199999999999800,30.500000000000000
,1055,E00074390,358883.298000000010000,167603.206999999990000,43,12,8,10,6,1,0,1,0,2,3,260.399999999999980,6.900000000000000
,1056,E00073278,358570.280000000030000,175820.477000000010000,189,23,70,25,11,1,1,4,5,34,15,1424.500000000000000,10.199999999999999
,1057,E00074318,355981.966000000010000,176761.739000000000000,119,10,43,19,2,5,2,4,4,21,9,1306.800000000000000,14.699999999999999
,1058,E00074399,359078.974999999980000,171165.701000000000000,228,67,73,13,24,1,6,7,5,18,14,1977.099999999999900,10.100000000000000
,1059,E00073279,359724.923000000010000,175725.500000000000000,346,32,167,53,15,3,5,5,19,23,24,4130.600000000000400,13.800000000000001
,1060,E00074319,355612.315000000000000,176859.791000000000000,146,6,56,38,5,1,0,3,6,19,12,1764.300000000000000,15.300000000000001
,1061,E00074398,359942.428000000010000,167630.630999999990000,179,25,48,39,20,1,1,2,7,18,18,1734.400000000000100,12.100000000000000
,1062,E00073226,357995.308000000020000,171386.845999999990000,91,31,23,12,6,2,1,1,0,5,10,425.800000000000010,5.600000000000000
,1063,E00073227,357758.147999999990000,171373.089000000010000,160,44,45,22,12,3,0,5,2,8,19,1053.099999999999900,7.900000000000000
,1064,E00073224,357742.929999999990000,171000.136000000000000,184,26,71,31,12,3,2,5,4,18,12,1485.200000000000000,9.600000000000000
,1065,E00073225,358233.369000000010000,171437.685000000000000,177,67,46,19,11,4,0,1,5,13,11,1584.599999999999900,10.400000000000000
,1066,E00073222,353390.784999999970000,177464.625999999990000,168,45,32,59,10,4,0,0,1,7,10,1012.800000000000000,6.700000000000000
,1067,E00073223,353066.396000000010000,177510.241000000010000,153,39,22,53,12,2,0,0,2,7,16,1011.600000000000000,7.800000000000000
,1068,E00073220,354024.416000000030000,177738.413999999990000,118,17,35,43,6,1,0,1,5,4,6,1315.700000000000000,12.199999999999999
,1069,E00073221,352801.650000000020000,177557.078000000010000,128,29,24,38,24,4,1,1,1,2,4,1103.200000000000000,9.000000000000000
,1070,E00073228,357977.780000000030000,171266.573000000000000,215,63,54,31,26,8,0,1,10,9,13,2734.699999999999800,14.199999999999999
,1071,E00073229,357127.156000000020000,170880.598999999990000,155,30,59,29,11,0,1,1,3,9,12,959.000000000000000,7.200000000000000
,1072,E00073216,353764.178000000010000,177869.253999999990000,110,22,19,47,8,0,0,2,3,5,4,1186.800000000000000,11.800000000000001
,1073,E00073297,359490.810999999990000,176280.079999999990000,192,26,81,20,12,2,1,10,9,19,12,2290.900000000000100,14.199999999999999
,1074,E00073217,351895.668999999990000,177906.337999999990000,176,62,24,44,13,0,0,0,2,12,19,894.500000000000000,6.200000000000000
,1075,E00073214,352257.357000000020000,177767.731000000000000,204,54,29,58,25,3,1,0,5,10,19,1740.700000000000000,9.900000000000000
,1076,E00073295,358785.406000000020000,176296.190000000000000,182,17,91,22,5,2,2,3,4,17,19,1463.800000000000000,10.000000000000000
,1077,E00073215,353376.066999999980000,177624.997999999990000,113,31,12,42,10,1,1,1,5,4,6,1381.099999999999900,13.400000000000000
,1078,E00073294,359532.081000000010000,176444.046000000000000,204,31,98,21,12,2,4,2,7,16,11,1719.900000000000100,9.699999999999999
,1079,E00073212,351457.793999999990000,178260.320000000010000,155,44,28,39,18,2,0,2,5,8,9,1799.099999999999900,13.000000000000000
,1080,E00073293,359659.436999999980000,176343.704999999990000,209,30,96,25,9,2,2,1,8,24,12,1800.700000000000000,10.400000000000000
,1081,E00073213,351707.003000000030000,178033.915000000010000,183,49,20,55,12,3,1,0,9,10,24,2389.300000000000200,16.000000000000000
,1082,E00073292,359713.706000000010000,176601.844000000010000,303,43,152,37,17,3,1,11,9,16,14,3264.400000000000100,12.000000000000000
,1083,E00073210,353056.254000000020000,176272.801000000010000,198,20,48,82,7,0,3,3,6,14,15,1851.300000000000000,11.000000000000000
,1084,E00073291,359461.169999999980000,175255.624000000010000,198,24,82,22,11,1,5,5,6,35,7,1935.700000000000000,12.400000000000000
,1085,E00073211,351581.641999999990000,178320.418000000010000,189,55,25,53,19,3,1,0,6,7,20,1938.800000000000000,12.000000000000000
,1086,E00073290,359349.112000000020000,175361.185999999990000,203,29,83,21,9,3,3,3,10,26,16,2303.599999999999900,14.300000000000001
,1087,E00073218,352003.479999999980000,177766.609999999990000,188,52,23,53,19,5,0,0,3,16,17,1271.000000000000000,8.199999999999999
,1088,E00073299,359715.951000000000000,176180.973000000000000,204,23,96,21,12,3,0,6,5,20,18,1719.900000000000100,10.400000000000000
,1089,E00073219,353572.739000000000000,177779.106999999990000,117,24,27,41,10,1,0,0,2,8,4,1135.800000000000000,10.800000000000001
,1090,E00073298,359347.251999999980000,176202.367999999990000,250,37,113,28,8,7,6,2,7,28,14,2335.699999999999800,11.199999999999999
,1091,E00073466,357274.043999999990000,172525.225000000010000,244,85,54,25,12,5,8,7,6,27,15,2101.699999999999800,10.400000000000000
,1092,E00073467,356800.495999999980000,172602.701999999990000,182,49,45,27,15,4,4,4,10,10,14,2444.400000000000100,15.500000000000000
,1093,E00073464,357325.054999999990000,172736.679000000000000,249,110,29,16,14,4,2,1,8,48,17,2204.500000000000000,12.000000000000000
,1094,E00073465,357655.811999999980000,172690.329999999990000,197,80,11,23,8,5,4,5,11,38,12,2904.099999999999900,19.800000000000001
,1095,E00073462,356999.213999999980000,172676.208000000010000,196,45,47,18,9,5,3,3,15,35,16,2908.900000000000100,20.100000000000001
,1096,E00073463,356845.406000000020000,172536.609999999990000,124,35,22,17,10,1,1,2,7,13,16,1673.099999999999900,17.600000000000001
,1097,E00073468,357574.553000000010000,172573.837000000000000,227,90,19,16,16,3,6,7,8,46,16,2475.300000000000200,15.000000000000000
,1098,E00073469,357176.843999999980000,172396.586000000010000,129,47,23,13,7,5,2,0,9,14,9,1959.099999999999900,18.500000000000000
,1099,E00073456,356979.157000000010000,172932.581999999990000,200,52,43,25,19,8,4,1,15,22,11,3309.099999999999900,19.800000000000001
,1100,E00073457,356807.000000000000000,172881.510000000010000,123,39,23,11,6,4,1,6,8,15,10,1966.099999999999900,20.100000000000001
,1101,E00073846,358146.978999999990000,176266.769000000000000,113,19,37,17,3,4,3,0,6,11,13,1614.300000000000000,18.100000000000001
,1102,E00073454,356717.359000000000000,172940.684000000010000,192,58,45,19,9,3,4,1,8,31,14,1795.500000000000000,12.199999999999999
,1103,E00073847,357673.700000000010000,176572.926000000010000,137,16,50,24,4,3,1,2,12,17,8,2148.900000000000100,19.199999999999999
,1104,E00073455,356736.163999999990000,172723.943999999990000,190,47,56,22,11,1,1,1,8,23,20,1979.200000000000000,13.500000000000000
,1105,E00073844,357904.522999999990000,176551.451999999990000,144,29,49,20,6,2,1,4,5,19,9,1480.800000000000000,12.800000000000001
,1106,E00174221,358183.825000000010000,172457.965999999990000,119,63,8,12,7,1,3,1,8,9,7,1890.200000000000000,18.399999999999999
,1107,E00074050,360267.891000000000000,176074.361000000000000,90,19,39,14,8,0,0,0,2,3,5,765.000000000000000,9.300000000000001
,1108,E00174249,359667.767999999980000,173034.613000000010000,111,51,6,17,11,1,2,4,3,6,10,875.799999999999950,9.199999999999999
,1109,E00074051,360284.871999999970000,175872.755000000000000,197,24,91,33,13,2,4,2,4,9,15,1528.300000000000000,8.800000000000001
,1110,E00174310,358233.438000000020000,172157.113000000010000,124,61,10,15,11,0,2,3,6,9,7,1540.099999999999900,14.300000000000001
,1111,E00174285,358730.706999999990000,171695.931000000010000,122,60,18,12,8,1,0,0,2,10,11,695.600000000000020,6.900000000000000
,1112,E00174053,359565.754000000020000,173736.105000000010000,92,47,11,13,3,2,0,1,5,4,6,930.799999999999950,11.400000000000000
,1113,E00073628,361292.234000000000000,175183.776000000010000,91,13,42,14,3,1,0,3,2,8,5,701.899999999999980,9.000000000000000
,1114,E00174047,358348.000000000000000,172966.000000000000000,42,22,2,2,0,2,0,0,6,2,6,1229.599999999999900,36.200000000000003
,1115,E00073629,362442.909999999970000,175602.791000000000000,218,32,80,43,10,3,0,4,3,24,19,1513.900000000000100,8.699999999999999
,1116,E00074058,360466.363000000010000,175259.144000000000000,170,28,61,23,6,4,2,5,5,18,18,1859.800000000000000,13.900000000000000
,1117,E00073616,361983.243000000020000,174327.875999999990000,153,28,61,21,11,1,1,3,1,8,18,849.700000000000050,6.700000000000000
,1118,E00073697,363789.661000000020000,175904.377000000010000,177,36,37,63,7,0,1,3,3,12,15,1150.200000000000000,7.700000000000000
,1119,E00073617,361812.190999999990000,176548.304000000000000,114,22,41,20,6,0,1,3,6,8,7,1651.700000000000000,16.699999999999999
,1120,E00073696,363585.305999999980000,175844.787000000010000,129,25,27,46,7,1,0,4,4,8,7,1107.000000000000000,9.699999999999999
,1121,E00073614,362215.418999999990000,174484.937000000010000,177,33,72,16,8,0,1,4,4,16,23,1411.800000000000000,10.199999999999999
,1122,E00073695,363511.452999999980000,176320.206999999990000,141,33,25,45,5,1,1,5,6,12,8,1725.300000000000000,14.300000000000001
,1123,E00073366,361862.353000000000000,171284.380000000000000,213,37,84,32,21,1,2,3,6,14,13,2404.699999999999800,12.900000000000000
,1124,E00074006,360894.842999999990000,172849.443999999990000,108,33,31,11,4,2,6,0,4,6,11,1226.200000000000000,13.500000000000000
,1125,E00074087,358326.471000000020000,174916.146000000010000,195,55,55,29,3,2,2,0,3,33,13,1185.000000000000000,8.000000000000000
,1126,E00073615,362159.777999999990000,174217.081999999990000,170,28,91,20,8,0,2,2,1,9,9,891.299999999999950,5.900000000000000
,1127,E00073694,363032.373000000020000,175836.185000000000000,166,19,67,26,22,2,3,4,3,5,15,1411.200000000000000,9.699999999999999
,1128,E00073367,362353.246999999970000,171362.022000000000000,151,35,53,18,14,1,0,1,6,13,10,1783.400000000000100,13.900000000000000
,1129,E00074086,358464.675999999980000,174832.340000000000000,174,54,49,19,6,5,1,3,10,17,10,2551.599999999999900,17.399999999999999
,1130,E00174323,362492.223999999990000,176150.174000000000000,133,23,33,13,2,1,3,15,26,10,7,5060.600000000000400,43.600000000000001
,1131,E00073612,361287.990999999980000,174784.326999999990000,130,26,47,12,15,0,2,1,2,5,20,1073.099999999999900,10.199999999999999
,1132,E00073364,362966.452999999980000,171495.587000000000000,111,30,29,17,12,1,1,1,3,5,12,773.500000000000000,8.199999999999999
,1133,E00074085,359111.999000000010000,174980.283000000000000,132,33,37,19,2,2,3,3,5,15,13,1300.800000000000000,12.500000000000000
,1134,E00174330,356641.517999999980000,175822.821999999990000,288,27,98,21,8,1,4,5,31,72,21,5788.600000000000400,29.699999999999999
,1135,E00073613,361951.775000000020000,174695.108000000010000,147,19,63,22,14,0,1,2,3,9,14,1095.300000000000000,8.800000000000001
,1136,E00073692,364073.962000000000000,176107.266000000000000,196,22,33,64,17,6,4,7,10,18,15,2956.300000000000200,18.100000000000001
,1137,E00073365,362575.316999999980000,171414.370000000000000,139,29,43,14,16,1,0,1,3,19,13,953.399999999999980,8.900000000000000
,1138,E00074084,358066.860999999980000,174803.127000000010000,158,53,39,16,13,2,4,3,7,14,7,2077.400000000000100,15.199999999999999
,1139,E00174055,358765.968999999980000,173229.209000000000000,200,99,9,17,12,3,3,8,16,19,14,3189.800000000000200,19.100000000000001
,1140,E00073691,363925.204000000030000,176136.019000000000000,166,27,30,60,7,2,5,2,6,15,12,1640.599999999999900,11.800000000000001
,1141,E00073362,362290.447999999970000,171496.432000000000000,87,24,27,9,9,1,2,1,4,2,8,1091.099999999999900,14.199999999999999
,1142,E00074002,359405.142999999980000,172103.029000000010000,70,26,15,13,4,0,0,0,5,2,5,891.899999999999980,14.199999999999999
,1143,E00074083,358567.967000000000000,174986.923000000010000,141,36,36,17,13,2,4,1,6,19,7,1658.400000000000100,14.400000000000000
,1144,E00174305,360440.206000000010000,174084.516999999990000,46,15,14,5,2,0,0,0,0,6,4,131.199999999999990,3.600000000000000
,1145,E00073611,361146.179999999990000,174970.470999999990000,142,15,70,15,10,1,1,3,0,12,15,672.700000000000050,5.800000000000000
,1146,E00073690,363186.130000000000000,176203.913000000000000,161,30,49,42,8,1,0,3,4,7,17,1296.700000000000000,9.500000000000000
,1147,E00073363,362876.195000000010000,171347.992999999990000,167,44,61,16,11,2,0,1,1,18,13,799.799999999999950,5.900000000000000
,1148,E00074003,360795.875999999990000,172849.548000000010000,214,74,41,28,20,4,1,1,6,19,20,2007.599999999999900,11.500000000000000
,1149,E00074082,358865.217999999990000,174921.065999999990000,182,51,57,27,7,3,2,1,9,14,11,2366.800000000000200,15.100000000000000
,1150,E00174299,359684.376999999980000,173248.529000000010000,69,40,4,12,3,0,0,1,1,3,5,386.399999999999980,6.300000000000000
,1151,E00174283,363012.802000000030000,176165.103000000000000,36,3,11,7,4,1,0,0,1,4,5,319.699999999999990,11.800000000000001
,1152,E00073360,362758.424000000000000,171529.287000000010000,149,21,44,25,19,0,0,2,3,10,25,987.799999999999950,8.699999999999999
,1153,E00074000,361120.946000000000000,172817.140000000010000,105,29,37,9,10,2,1,0,4,7,6,1142.300000000000000,12.400000000000000
,1154,E00074081,357566.609000000000000,175023.516000000000000,276,71,76,40,16,2,2,4,21,31,13,4254.300000000000200,18.300000000000001
,1155,E00174325,359464.033999999990000,173654.913999999990000,164,83,18,22,6,3,2,7,4,12,7,1462.800000000000000,10.100000000000000
,1156,E00174281,359866.411000000020000,175463.935999999990000,167,16,80,31,4,1,2,0,12,15,6,2725.900000000000100,18.699999999999999
,1157,E00074001,360636.686999999980000,174420.329000000000000,105,26,37,13,0,2,1,0,2,8,16,468.000000000000000,5.800000000000000
,1158,E00074080,358723.168000000010000,174993.799000000000000,177,47,51,18,9,4,3,4,10,22,9,2295.300000000000200,15.699999999999999
,1159,E00174273,360502.534999999970000,174176.576000000000000,111,32,36,18,3,0,1,1,2,6,12,757.200000000000050,8.100000000000000
,1160,E00174237,360171.319000000020000,177604.668000000010000,172,31,50,39,9,3,4,4,8,11,13,2158.400000000000100,14.600000000000000
,1161,E00174322,359784.935999999990000,173363.668999999990000,59,22,5,9,1,1,0,0,4,11,6,1258.800000000000000,30.000000000000000
,1162,E00174259,357955.349999999980000,179212.489999999990000,153,16,33,50,14,3,0,1,4,18,14,1580.300000000000000,13.100000000000000
,1163,E00073618,361978.043999999990000,176587.522999999990000,137,20,41,25,12,4,0,2,5,15,13,1751.500000000000000,16.100000000000001
,1164,E00174242,359095.753000000030000,172866.852000000010000,172,100,6,19,7,1,1,3,9,17,9,1597.099999999999900,10.900000000000000
,1165,E00174294,359066.767999999980000,173027.264000000000000,149,75,16,17,12,3,0,1,5,10,10,1090.099999999999900,8.500000000000000
,1166,E00073619,361546.425999999980000,176259.499000000010000,176,26,76,28,7,3,0,2,6,11,17,1887.900000000000100,12.800000000000001
,1167,E00073698,363428.647999999990000,175855.380999999990000,205,26,45,68,8,5,3,5,8,19,18,2484.099999999999900,14.800000000000001
,1168,E00073368,362005.283000000000000,171136.445000000010000,147,29,53,23,14,2,1,0,2,8,15,830.399999999999980,6.700000000000000
,1169,E00074008,359337.191999999980000,172166.220999999990000,99,58,9,10,5,0,1,1,1,5,9,412.399999999999980,4.900000000000000
,1170,E00074089,358133.183000000020000,174847.285000000000000,206,61,43,34,15,3,6,3,14,14,13,2932.000000000000000,16.399999999999999
,1171,E00074009,359118.745999999980000,172136.687000000010000,148,65,23,21,5,2,0,2,1,11,18,612.100000000000020,5.100000000000000
,1172,E00074088,358901.390000000010000,174768.880000000000000,226,69,63,30,8,1,4,1,9,26,15,2594.400000000000100,14.000000000000000
,1173,E00073356,362456.746999999970000,172252.507000000010000,154,16,62,24,13,1,0,4,9,17,8,2463.500000000000000,19.100000000000001
,1174,E00073357,362403.582999999980000,171912.418000000010000,136,21,56,15,2,3,0,1,8,17,13,1900.900000000000100,17.899999999999999
,1175,E00174282,359950.158000000000000,173313.106000000000000,125,66,15,12,10,0,1,1,5,6,9,1027.599999999999900,9.300000000000001
,1176,E00073354,362507.940000000000000,172490.942000000010000,155,31,58,16,17,2,2,2,2,8,17,1124.300000000000000,8.600000000000000
,1177,E00174292,358222.130000000000000,171268.481000000000000,184,55,48,23,21,4,3,1,11,11,7,2613.599999999999900,15.699999999999999
