FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33047772,360524.141999999990000,178303.141000000000000,292,74,41,27,12,3,2,0,1,55,77,823.299999999999950,5.100000000000000
,E33047773,360911.620000000000000,178927.684000000010000,391,85,73,64,16,4,4,2,4,51,88,1828.900000000000100,7.300000000000000
,E33047568,353792.674000000000000,174410.071999999990000,572,47,97,188,92,38,17,28,10,40,15,6561.500000000000000,12.699999999999999
,E33047770,361059.061999999980000,178802.217999999990000,353,34,96,103,37,19,9,22,11,10,12,4947.399999999999600,14.900000000000000
,E33047569,351456.503000000030000,175380.880999999990000,274,36,8,49,40,12,7,8,16,68,30,4196.800000000000200,23.800000000000001
,E33047771,360344.630000000000000,179139.231000000000000,615,116,125,147,48,28,14,18,14,53,52,5989.100000000000400,11.699999999999999
,E33047778,367459.851000000020000,180440.413000000000000,249,36,32,47,14,8,1,1,1,58,51,1114.000000000000000,8.000000000000000
,E33047779,366520.005000000000000,175772.793999999990000,370,54,57,53,29,9,2,2,0,99,65,1437.500000000000000,7.000000000000000
,E33045556,362262.163999999990000,170004.651000000010000,735,139,258,129,108,37,19,11,10,9,15,6773.199999999999800,9.500000000000000
,E33045557,361327.576000000000000,171562.969000000010000,584,100,214,131,65,18,5,8,11,15,17,4660.199999999999800,8.400000000000000
,E33045554,362885.364999999990000,170736.948999999990000,589,67,230,155,77,21,7,13,18,1,0,6614.199999999999800,11.199999999999999
,E33045555,362785.871999999970000,170450.769000000000000,930,121,293,159,139,83,43,40,51,1,0,18075.799999999999000,19.500000000000000
,E33045552,362445.494000000010000,170350.241000000010000,507,94,212,104,67,18,1,6,5,0,0,3710.400000000000100,7.300000000000000
,E33045553,362685.262999999980000,170700.712999999990000,235,25,84,52,33,19,9,7,6,0,0,2984.300000000000200,12.699999999999999
,E33045550,362952.663999999990000,170239.321000000000000,254,33,89,47,46,12,9,3,0,7,8,1992.000000000000000,8.300000000000001
,E33045551,362797.592000000000000,170929.078000000010000,302,53,99,62,35,10,8,15,7,5,8,3372.300000000000200,11.699999999999999
